stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.63419] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63430] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63439] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63446] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63454] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63463] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63471] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63481] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63489] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63506] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63518] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63550] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63561] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63580] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63593] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63606] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63618] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63628] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63640] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63660] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.63670] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63681] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.63688] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63704] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.63711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63725] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.63734] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63745] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63774] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63806] Score is : 598
